"DateTime","Scheduled flights","Tracked flights"
"2020-03-28",1062,550
"2020-03-29",1071,505
"2020-03-30",1161,564
"2020-03-31",1168,492
"2020-04-01",1069,506
"2020-04-02",995,473
"2020-04-03",1234,404
"2020-04-04",1146,356
"2020-04-05",1175,355
"2020-04-06",719,380
"2020-04-07",776,389
"2020-04-08",767,382
"2020-04-09",777,416
"2020-04-10",682,386
"2020-04-11",530,336
"2020-04-12",584,332
"2020-04-13",571,383
"2020-04-14",559,363
"2020-04-15",535,327
"2020-04-16",550,317
"2020-04-17",535,315
"2020-04-18",420,273
"2020-04-19",478,275
"2020-04-20",455,302
"2020-04-21",457,305
"2020-04-22",432,295
"2020-04-23",430,310
"2020-04-24",413,301
"2020-04-25",348,256
"2020-04-26",370,270
